Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
298.3,308.6,1570,34.8,175,0
298.1,308.3,1301,56,63,0
299.1,310,1367,56.3,203,1
302.2,310.1,1368,51.6,12,1
302.2,310.6,1348,48.4,161,1
302.4,310.7,1362,54.8,155,1
299,309,1419,45.2,27,0
300.5,309.3,1417,51.5,231,1
297.3,308.8,1419,42.4,139,0
298.8,309,1497,43.8,147,0
302.4,311,1338,67.6,194,1
298,308,1524,37,49,0
298.2,308.3,1824,24.2,49,0
297.5,308.6,1452,39,72,0
303.4,311.7,1295,51.3,51,1
299.3,308.9,1258,69.4,119,1
298.8,309.1,1472,47.5,125,0
297.6,308.4,1391,51.9,218,0
302.3,311.8,1369,56.2,208,1
297.3,308.6,1273,59.8,182,0
303.8,313,1365,59.9,205,1
302.2,310.6,1334,53.2,159,1
298.2,308.4,1477,49.9,72,0
297.7,308.5,1720,29.9,210,0
297.5,308.2,2448,13.8,29,0
298.8,309.2,1425,53.9,135,0
300.7,310.2,1364,65.3,208,1
301.1,310.7,2636,12.2,100,1
297.3,308.3,1657,31.1,8,0
301.9,310.9,1567,39,214,1
298.2,308.3,1522,49.1,22,0
298.5,309.5,1385,46.3,203,1
297.6,308.2,1995,20.5,10,0
298.9,308.6,1560,32.2,118,0
297.4,308.3,1475,40.5,222,1
301.7,310.2,1311,57.4,40,1
298.8,308.7,1591,31.1,68,0
299.3,308.6,1384,53.6,218,1
298.4,308.9,1782,23.9,24,0
297.8,308.4,1612,32.1,183,0
298.8,309.2,1306,54.5,50,0
298.1,308,1652,28.5,63,0
302.3,310.9,1379,49.3,34,1
298.5,308.2,1301,66.3,42,1
300.8,310.7,1339,59.1,203,1
299,310.3,1303,68.6,111,1
298.6,308.4,1407,50.5,164,0
298.8,308.8,1445,49.9,4,0
298.4,308.5,1741,32.8,112,0
297.6,309.3,1610,35,6,0
298.8,308.9,1527,32.4,189,0
297.6,308.3,1623,36.9,61,0
298.6,309.2,1542,48.4,42,0
298.4,308.6,1477,44,124,0
296.4,307.4,2833,5.6,213,1
298.3,308.3,1379,48,181,0
299.8,309.3,1299,65.1,212,1
297.4,309,1833,22.6,161,0
300.6,309.4,1367,63.2,45,1
297,307.8,1316,61.2,200,1
298.6,309.2,1311,46.6,44,0
297.6,308.6,1595,36.9,25,0
297.5,309.2,1715,28,30,0
298.9,308.8,1621,32.7,75,0
303.7,311.9,1332,52.7,66,1
301.8,310.3,1341,50.5,64,1
297.6,308.3,1538,40.2,0,0
302.6,312.3,1454,54.8,253,1
298.2,308.7,1408,40,9,0
301.7,310.2,1331,61.2,47,1
297.9,308.1,1585,33.5,212,0
297.9,308,1800,24.8,44,0
301.6,310.8,1355,57.8,195,1
298.1,308,1924,20.8,29,0
302.8,312.3,1262,70.5,234,1
298.8,308.6,1431,45.7,97,0
303.2,311.2,1363,46.7,29,1
300.5,309.8,1663,29.1,145,1
298,308.5,1395,46.2,122,0
300.6,309.4,1380,47.6,246,1
298.1,308.1,1390,49.8,85,0
300.5,311.8,1524,38.9,214,1
302.6,311,1329,48.6,111,1
298.2,308.7,1408,46.3,3,0
297.5,308.5,1496,42.2,22,0
297.9,308.5,1449,40.8,157,0
302.1,311.2,1454,59.2,153,1
298.9,308.9,1727,27.1,37,0
298.4,308.3,1422,42.7,186,0
297.7,308.5,1373,56.7,203,1
298.8,308.6,1511,36.1,157,0
300.7,310.4,1416,61.8,209,1
297.4,308.5,1600,42.1,190,0
297.3,308.1,1615,35.4,217,1
302.4,310.2,1331,45.5,53,1
298.1,308.6,1558,42.4,14,0
302.6,310.9,1331,52,154,1
297.4,308.3,1571,37.7,162,0
298.1,308.2,1390,47.5,33,0
298,308.7,1268,69.4,189,1
299,310.4,1365,49.1,226,1
298.2,308.3,1304,49.8,45,0
298.9,309,1601,32.3,202,0
298,308.3,1405,56.2,218,1
299,309.1,1523,38.6,177,0
298.1,308.4,1438,45.6,105,0
298.7,308.5,1420,45.7,143,0
297.6,308.4,1407,55.2,86,0
297.3,308.3,1504,36.3,45,0
298,308.2,1489,40.4,11,0
298.8,308.9,1455,41.3,208,1
297.4,308.6,1276,53.6,103,0
302.3,310.9,1360,44,67,1
298.4,308.5,1827,24.3,153,0
296.9,307.8,1400,57.1,202,1
297.4,308.1,1749,25.9,8,0
298.4,308.2,1463,37.6,188,0
297.6,308.3,1595,34.3,41,0
303.4,311.4,1307,54,44,1
297.4,308.7,1402,40.2,114,0
297.2,308.1,1431,49.7,210,1
303.2,311.4,1349,51.1,9,1
302,309.9,1308,57.6,197,1
297.4,308.6,1434,44.4,193,0
302.7,312.4,1477,46.3,251,1
297.3,309,1556,39.5,168,0
302.5,310.2,1329,50.6,148,1
298.4,308.2,1850,27,194,0
299.2,309.1,1345,60.7,191,1
297,307.8,1385,56.4,202,1
302.7,310.7,1369,47.5,11,1
298,308.1,1587,32.3,30,0
298.9,309.3,1665,32.5,93,0
298.1,308.3,1680,33.7,185,0
300.4,310.2,1671,30.5,234,1
298.8,308.6,1872,22.5,82,0
297.9,308,1954,21.1,42,0
297.3,308.8,1499,44.2,134,0
298.5,309,1741,28,21,0
302.6,311.6,1227,68.2,187,1
299.1,310.1,1435,48.8,229,1
297.6,308.6,1491,38.1,152,0
297.3,308.6,1486,42.6,105,0
301.9,310.9,1419,47.7,20,1
298.4,308.2,1584,41,191,0
302.6,311,1369,60,93,1
297.4,309,1568,33.7,175,0
298,308,1520,39.6,51,0
297.5,308.4,1350,52.2,157,0
297.6,308.4,1398,48.9,63,0
297.5,308.4,1604,38.1,106,0
298.5,308.4,1513,33.6,172,0
298.8,310.1,1243,74.5,194,1
297.6,308.7,1455,48.2,145,0
297.6,309.5,1924,20.6,37,0
303.6,312,1309,52.9,86,1
297.4,308.5,1501,44.9,20,0
298.4,308.2,1499,40,211,0
302.4,310.3,1375,52.5,161,1
301.4,310.8,1285,62.6,183,1
298,308.2,1620,35.8,5,0
298.3,308.5,1434,46.2,148,0
298.3,309.3,1337,56.1,206,1
297.6,308.7,1376,59.9,74,0
298.1,308.2,1654,32.1,25,0
298,308.5,1713,25.3,124,0
297.6,308.4,1569,38.3,93,0
298.4,308.2,1478,43.5,206,0
298.7,308.4,1441,43.2,132,0
298.2,308.1,1462,50.8,27,0
301.9,310.4,1376,54.9,126,1
297.6,309.6,1501,49.8,222,1
299.6,310.7,1922,23.3,205,1
297.4,308.4,1341,52.2,49,0
300.7,311.8,1336,58.4,189,1
298.9,308.2,1372,63.6,30,1
297.4,308.2,1401,51.9,117,0
298.2,307.9,1313,67.3,67,1
298.8,308.4,1369,53,138,0
302.1,310,1355,45.1,6,1
298.2,308.2,1469,43,88,0
298.3,308.4,1329,49.2,166,0
301.9,310.6,1331,68.6,85,1
297.5,308.4,1528,39.9,160,0
303.4,311.9,1377,41.6,34,1
302.7,310.5,1263,67.8,197,1
298.9,308.9,1830,24.9,35,0
298.7,308.5,1544,35.2,159,0
297.8,308.3,1567,35.6,131,0
297.4,308.7,1468,46.6,94,0
298.4,308.4,1515,40.1,179,0
298.8,308.6,1707,28.1,103,0
300.7,310.9,1356,65.3,66,1
298.3,308.1,1412,52.3,218,1
298.2,308.6,1433,39.5,7,0
298.7,308.6,1297,55.3,148,0
297.5,308.2,1563,38.2,15,0
301.7,309.5,1298,65.5,229,1
299,309,1575,35.3,47,0
298.9,309.3,1632,32.5,55,0
297.5,308.5,1393,46.6,56,0
298.8,308.4,1473,41.1,128,0
297.3,309,1548,37.4,171,0
297.3,308.5,1350,57.6,186,0
297.6,309.5,1373,50.6,55,0
297.6,308.3,1640,30.9,79,0
297.4,309.4,1401,45.9,49,0
297.5,308.3,1674,30,54,0
297.5,309.1,1611,30.2,211,0
297.2,308.5,2182,16.5,127,0
302.6,310.2,2676,10.8,84,1
297.5,308.1,1334,72,151,1
301.1,310.9,1282,67.9,10,1
298,308.3,1362,56.8,216,1
300.7,311.1,2478,13.4,170,1
303.3,311.4,1497,46,234,1
301.6,310.1,1326,48.2,77,1
297.3,308.2,1754,26.8,125,0
303.4,311.8,1316,50.9,69,1
300.5,311.2,1270,67.5,208,1
298.1,308.6,1551,42.8,0,0
303.5,312,1366,54.5,30,1
302.4,310.2,1346,62.4,106,1
303.2,311.4,1238,54.6,226,1
298.1,308.6,1527,40.2,16,0
298.3,308.5,1539,36.1,168,0
297.3,308.3,1501,38.2,2,0
299.1,309.5,1512,39,75,0
301.9,310.4,1373,48,73,1
297.4,308.6,1643,31,89,0
302.3,310.9,1377,46.8,166,1
297.6,309.4,1326,49.8,199,0
300.6,310.3,1648,30.5,217,1
302.1,310.7,1294,62.4,101,1
298.8,309.1,1378,54.4,165,0
297.8,308.4,1737,27.5,146,0
299,309,1469,40.1,13,0
303.2,311.4,1324,54.2,228,1
298.8,309.2,1372,48.5,120,0
301.5,310.7,1336,65.6,0,1
298,308.1,1440,43.7,37,0
297.4,308.2,1530,32.6,22,0
298.1,308.3,1331,63,13,0
300.3,310.3,1362,60.3,206,1
303.3,311.3,1350,48.1,32,1
298.3,308.6,1447,38.1,146,0
299.6,310.9,1229,65.2,209,1
298.9,309.8,1287,61.9,216,1
298.8,308.4,1737,27.7,130,0
297.4,309,1685,30.7,177,0
298.7,309,1691,30.1,154,0
298.2,308.4,1666,34.6,74,0
298.2,308.4,1398,51.8,76,0
298,308.5,1429,37.7,220,1
297.3,308.6,1431,42,109,0
299,309,1436,43.9,20,0
298.7,309,1565,35.1,152,0
302,310.4,1336,58.2,110,1
299,309.4,1419,48.3,91,0
297.8,308.4,1579,36.6,152,0
298.2,308.4,1310,61,189,1
298,308.1,1339,51.6,197,0
301.9,310.5,1340,55.7,204,1
298.4,308.6,1304,45,158,0
298.3,308.6,1548,40.3,140,0
